LFE5UM-45F,,,,,
,,,,,
,,,,,
,,,,,
Pin,Name,Dual Function,Type,Bank,Hidden
A4,PL11A,ULC_GPLL0T_IN,bidirectional,Bank 7,
A5,PL11B,ULC_GPLL0C_IN,bidirectional,Bank 7,
B5,PL11C,-,bidirectional,Bank 7,
C5,PL11D,-,bidirectional,Bank 7,
C4,PL14A,-,bidirectional,Bank 7,
A3,PL14C,-,bidirectional,Bank 7,
B4,PL14B,-,bidirectional,Bank 7,
B3,PL14D,-,bidirectional,Bank 7,
E4,PL17A,-,bidirectional,Bank 7,
C3,PL17C,-,bidirectional,Bank 7,
D5,PL17B,-,bidirectional,Bank 7,
D3,PL17D,-,bidirectional,Bank 7,
F4,PL20A,-,bidirectional,Bank 7,
E5,PL20C,-,bidirectional,Bank 7,
E3,PL20B,-,bidirectional,Bank 7,
F5,PL20D,-,bidirectional,Bank 7,
A2,PL23A,-,bidirectional,Bank 7,
B2,PL23C,VREF1_7,bidirectional,Bank 7,
B1,PL23B,-,bidirectional,Bank 7,
C2,PL23D,-,bidirectional,Bank 7,
C1,PL26A,-,bidirectional,Bank 7,
D2,PL26C,-,bidirectional,Bank 7,
D1,PL26B,-,bidirectional,Bank 7,
E1,PL26D,-,bidirectional,Bank 7,
H4,PL29A,GR_PCLK7_1,bidirectional,Bank 7,
H5,PL29C,GR_PCLK7_0,bidirectional,Bank 7,
G5,PL29B,-,bidirectional,Bank 7,
H3,PL29D,-,bidirectional,Bank 7,
G3,PL32A,PCLKT7_1,bidirectional,Bank 7,
F2,PL32C,PCLKT7_0,bidirectional,Bank 7,
F3,PL32B,PCLKC7_1,bidirectional,Bank 7,
E2,PL32D,PCLKC7_0,bidirectional,Bank 7,
G2,PL35A,PCLKT6_1,bidirectional,Bank 6,
H2,PL35C,PCLKT6_0,bidirectional,Bank 6,
F1,PL35B,PCLKC6_1,bidirectional,Bank 6,
G1,PL35D,PCLKC6_0,bidirectional,Bank 6,
J4,PL38A,GR_PCLK6_0,bidirectional,Bank 6,
J3,PL38C,GR_PCLK6_1,bidirectional,Bank 6,
J5,PL38B,-,bidirectional,Bank 6,
K3,PL38D,-,bidirectional,Bank 6,
K2,PL41A,-,bidirectional,Bank 6,
H1,PL41C,-,bidirectional,Bank 6,
J1,PL41B,-,bidirectional,Bank 6,
K1,PL41D,-,bidirectional,Bank 6,
K4,PL44A,-,bidirectional,Bank 6,
L4,PL44C,-,bidirectional,Bank 6,
K5,PL44B,VREF1_6,bidirectional,Bank 6,
L5,PL44D,-,bidirectional,Bank 6,
M5,PL53A,-,bidirectional,Bank 6,
M4,PL59A,-,bidirectional,Bank 6,
N4,PL59C,-,bidirectional,Bank 6,
N5,PL59B,-,bidirectional,Bank 6,
P5,PL59D,-,bidirectional,Bank 6,
N3,PL62A,-,bidirectional,Bank 6,
L3,PL62C,-,bidirectional,Bank 6,
M3,PL62B,-,bidirectional,Bank 6,
L2,PL62D,-,bidirectional,Bank 6,
N2,PL65A,-,bidirectional,Bank 6,
L1,PL65C,-,bidirectional,Bank 6,
M1,PL65B,-,bidirectional,Bank 6,
N1,PL65D,-,bidirectional,Bank 6,
P1,PL68A,-,bidirectional,Bank 6,
P2,PL68B,-,bidirectional,Bank 6,
P3,PL68C,LLC_GPLL0T_IN,bidirectional,Bank 6,
P4,PL68D,LLC_GPLL0C_IN,bidirectional,Bank 6,
R1,PB4A,D7/IO7,bidirectional,Bank 8,
